day,january,february,march,april,may,june,july,august,september,octover,november,december
1,,,188.9,,,,,,,,,
2,,,188,,,,,,,,,
3,,,188.2,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,36,,,,,,,,,,
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,189,,,,,,,,,,
12,,190,,,,,,,,,,
13,,190.2,,,,,,,,,,
14,,190.2,,,,,,,,,,
15,,189.4,,,,,,,,,,
16,,190.2,,,,,,,,,,
17,,191.2,,,,,,,,,,
18,,191.2,,,,,,,,,,
19,,190.4,,,,,,,,,,
20,,189.6,,,,,,,,,,
21,,189.4,,,,,,,,,,
22,,190.6,,,,,,,,,,
23,,191.2,,,,,,,,,,
24,,187.9,,,,,,,,,,
25,,187.6,,,,,,,,,,
26,,186.2,,,,,,,,,,
27,,188.2,,,,,,,,,,
28,,189.4,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
